Park Name,Park ID,Development Status,Amenities,Facilities,Trails,Amenities + Facilities,Attractions Sum
Givens District Park,167,Developed,26,20,0,46,46
Lakeline Neighborhood Park,188,Undeveloped,0,0,0,0,0
Goat Cave Karst Nature Preserve,184,Undeveloped,0,0,0,0,0
Hielscher Tract Greenbelt,351,Undeveloped,0,0,0,0,0
Metz Neighborhood Park,207,Developed,13,13,0,26,26
Hill School Park,178,Developed,2,5,0,7,7
Lakeshore at Town Lake Metro Park,295,Developed,4,3,0,7,7
Holly Shores at Town Lake Metro Park,294,Developed,2,6,0,8,8
Houston School Park,179,Developed,0,2,0,2,2
Lamar Beach at Town Lake Metro Park,296,Developed,10,44,0,54,54
Hubert C. Schroeter Neighborhood Park,264,Developed,13,4,0,17,17
Millennium Center,208,Developed,0,5,10,5,15
Indiangrass Wildlife Sanctuary,368,Undeveloped,0,0,0,0,0
International Shores at Town Lake Metro Park,363,Developed,4,3,0,7,7
Govalle Neighborhood Park,168,Developed,20,13,1,33,34
Gracywoods Neighborhood Park,169,Developed,34,5,9,39,48
J.J. Seabrook Greenbelt,180,Undeveloped,3,0,0,3,3
Grand Meadow Neighborhood Park,171,Undeveloped,0,0,0,0,0
Great Hills Neighborhood Park,172,Developed,16,13,18,29,47
Jimmy Clay Golf Course,181,Developed,4,110,0,114,114
Legend Oaks Neighborhood Park,191,Undeveloped,0,0,0,0,0
Grey Rock Golf Course,404,Developed,0,85,0,85,85
Gullett School Park,173,Developed,0,12,1,12,13
John Trevino Jr. Metro Park at Morrison Ranch,212,Developed,0,5,0,5,5
"Gustavo ""Gus"" L. Garcia District Park",174,Developed,8,6,6,14,20
Lewis Mountain Ranch Neighborhood Park,192,Undeveloped,2,0,0,2,2
Hall/Goodnight Planting Strip,170,Undeveloped,0,0,0,0,0
Joslin Neighborhood Park,183,Developed,3,6,0,9,9
Hancock Golf Course,175,Developed,8,34,0,42,42
Harris Branch Neighborhood Park,176,Developed,3,2,0,5,5
Kealing School Park,185,Developed,8,19,20,27,47
Harris Triangle,253,Developed,0,0,0,0,0
Mary Moore Searight Metro Park,203,Developed,46,55,16,101,117
Norman School Park,217,Developed,3,3,0,6,6
